wavelength_m,wavelength_um,frequency_Hz,wavelength_nm,sun_5778K_W_m2_sr_m,sun_5778K_normalized,sun_6000K_W_m2_sr_m,sun_6000K_normalized,sun_5500K_W_m2_sr_m,sun_5500K_normalized,earth_300K_W_m2_sr_m,earth_300K_normalized,earth_288K_W_m2_sr_m,earth_288K_normalized,hot_star_10000K_W_m2_sr_m,hot_star_10000K_normalized,cool_planet_200K_W_m2_sr_m,cool_planet_200K_normalized
1e-08,0.01,2.99792458e+16,10.0,8.560056946663107e-85,3.245374583419756e-98,8.585870477535851e-81,2.6958933844437585e-94,2.926286058505908e-90,1.419644435097157e-103,0.0,0.0,0.0,0.0,3.8962029600488196e-39,9.512977067740572e-54,0.0,0.0
1.00307688548969e-08,0.0100307688548969,2.988728604324732e+16,10.0307688548969,1.809380379019086e-84,6.859904239417498e-98,1.7642647410190253e-80,5.539647559516438e-94,6.4289072205980495e-90,3.118889328317362e-103,0.0,0.0,0.0,0.0,5.965416616951443e-39,1.4565173338882366e-53,0.0,0.0
1.0061632382036987e-08,0.010061632382036986,2.979560836820265e+16,10.061632382036986,3.815623827812725e-84,1.4466175479710358e-97,3.617123017607887e-80,1.1357471603376662e-93,1.4089272178127825e-89,6.835202178580172e-103,0.0,0.0,0.0,0.0,9.121201472415128e-39,2.227034405729198e-53,0.0,0.0
1.0092590872715871e-08,0.01009259087271587,2.970421190959534e+16,10.09259087271587,8.027619925483007e-84,3.0435117235607195e-97,7.399219514882275e-80,2.3232946493205455e-93,3.0801669699911757e-89,1.494297485171584e-102,0.0,0.0,0.0,0.0,1.3927628773828143e-38,3.400572672727776e-53,0.0,0.0
1.0123644619125529e-08,0.010123644619125528,2.9613095804808664e+16,10.123644619125528,1.6849877131263772e-83,6.388294297138559e-97,1.510200636945039e-79,4.741906970266056e-93,6.71734305954087e-89,3.258819712924677e-102,0.0,0.0,0.0,0.0,2.123821335471775e-38,5.185526490146704e-53,0.0,0.0
1.0154793914356894e-08,0.010154793914356893,2.9522259193872172e+16,10.154793914356892,3.5285677676007985e-83,1.337785977382997e-96,3.0754769637693e-79,9.656747119966335e-93,1.4613748382502814e-88,7.08964405814884e-102,0.0,0.0,0.0,0.0,3.234269693524971e-38,7.896799458569752e-53,0.0,0.0
1.018603905240277e-08,0.01018603905240277,2.9431701219453148e+16,10.186039052402771,7.372165356061761e-83,2.7950092178600677e-96,6.249170556750195e-79,1.9621886454358314e-92,3.1715371210569365e-88,1.5386243636452223e-101,0.0,0.0,0.0,0.0,4.918738398216151e-38,1.2009601672254502e-52,0.0,0.0
1.0217380328160544e-08,0.010217380328160544,2.9341421026848696e+16,10.217380328160544,1.536701930653299e-82,5.826098376574926e-96,1.2669728741097593e-78,3.978191609713731e-92,6.866339739013255e-88,3.331103250019791e-101,0.0,0.0,0.0,0.0,7.470544258214155e-38,1.8240096047522582e-52,0.0,0.0
1.0248818037434905e-08,0.010248818037434906,2.9251417763977852e+16,10.248818037434905,3.1958415858109854e-82,1.2116394925701948e-95,2.563009729719363e-78,8.047641753615732e-92,1.4829664362363228e-87,7.19439250485876e-101,0.0,0.0,0.0,0.0,1.1331138821225315e-37,2.7666131580668664e-52,0.0,0.0
1.0280352476940782e-08,0.010280352476940782,2.9161690581373136e+16,10.28035247694078,6.631090458837938e-82,2.5140454753468655e-95,5.1733771811374155e-78,1.6243982895329463e-91,3.1951490287598523e-87,1.5500793317181614e-100,0.0,0.0,0.0,0.0,1.7164037218994522e-37,4.190774816620299e-52,0.0,0.0
1.0311983944305979e-08,0.01031198394430598,2.9072238632173e+16,10.311983944305979,1.372751155601545e-81,5.204511766111605e-95,1.0419381108229975e-77,3.2716007856360276e-91,6.867645829315094e-87,3.331736880427642e-100,0.0,0.0,0.0,0.0,2.5965199880298803e-37,6.33966848116885e-52,0.0,0.0
1.034371273807413e-08,0.010343712738074131,2.8983061072113416e+16,10.343712738074132,2.835364423737443e-81,1.0749717779759824e-94,2.093902852623232e-77,6.574684375712811e-91,1.4726001260981435e-86,7.144101883210952e-100,0.0,0.0,0.0,0.0,3.922762252621387e-37,9.577824290477418e-52,0.0,0.0
1.0375539157707453e-08,0.010375539157707453,2.8894157059520096e+16,10.375539157707452,5.843044476513443e-81,2.2152735842791383e-94,4.1987583672069275e-77,1.318375921771383e-90,3.1501057881610162e-86,1.5282272692142213e-99,0.0,0.0,0.0,0.0,5.918643124824672e-37,1.4450971085421077e-51,0.0,0.0
1.0407463503589513e-08,0.010407463503589513,2.880552575530072e+16,10.407463503589513,1.2013948438424145e-80,4.5548485426579113e-94,8.401133761368059e-77,2.6378875605399773e-90,6.722518190072541e-86,3.2613303510213295e-99,0.0,0.0,0.0,0.0,8.918337816360761e-37,2.1775031742273613e-51,0.0,0.0
1.0439486077028206e-08,0.010439486077028206,2.871716632293661e+16,10.439486077028207,2.4646293623543015e-80,9.34414985784964e-94,1.677298992549865e-76,5.266582194059752e-90,1.4312270818814204e-85,6.94338667351854e-99,0.0,0.0,0.0,0.0,1.3420819183704602e-36,3.2768299401752645e-51,0.0,0.0
1.0471607180258435e-08,0.010471607180258434,2.862907792847528e+16,10.471607180258435,5.0447513325507244e-80,1.9126166865881962e-93,3.3415005665747356e-76,1.0492039560943033e-89,3.0398907594068977e-85,1.474758076829542e-98,0.0,0.0,0.0,0.0,2.017015387462421e-36,4.924748870364148e-51,0.0,0.0
1.0503827116445105e-08,0.010503827116445106,2.854125974052219e+16,10.503827116445105,1.0302750898586262e-79,3.9060821807512715e-93,6.642536455012579e-76,2.0857023329024627e-89,6.441446915350365e-85,3.1249727759082755e-98,0.0,0.0,0.0,0.0,3.0274446390592116e-36,7.391814985137106e-51,0.0,0.0
1.0536146189685929e-08,0.01053614618968593,2.8453710930233068e+16,10.53614618968593,2.0993986587091727e-79,7.959450608674115e-93,1.317621242103684e-75,4.137223359103552e-89,1.3617207364391397e-84,6.60618691061684e-98,0.0,0.0,0.0,0.0,4.5381803320475417e-36,1.1080430324271048e-50,0.0,0.0
1.0568564705014225e-08,0.010568564705014225,2.8366430671306228e+16,10.568564705014225,4.268427331095668e-79,1.618288950392107e-92,2.6080405108237203e-75,8.189034737813664e-89,2.871937373842449e-84,1.3932779739259877e-97,0.0,0.0,0.0,0.0,6.794031417715754e-36,1.6588320920897073e-50,0.0,0.0
1.0601082968401955e-08,0.010601082968401955,2.827941813997441e+16,10.601082968401956,8.659146774097603e-79,3.282942511931811e-92,5.151195635142207e-75,1.6174334647942458e-88,6.042926289896289e-84,2.9316363840156184e-97,0.0,0.0,0.0,0.0,1.0158166614369305e-35,2.4802200255905626e-50,0.0,0.0
1.063370128676243e-08,0.01063370128676243,2.819267251499743e+16,10.633701286762431,1.752748099453215e-78,6.645194265115463e-92,1.0152536831809167e-74,3.187813856708816e-88,1.2685516593782567e-83,6.154190902269818e-97,0.0,0.0,0.0,0.0,1.5168645579034363e-35,3.703579588169869e-50,0.0,0.0
1.0666419967953368e-08,0.010666419967953368,2.810619297765406e+16,10.666419967953368,3.5400064783218056e-78,1.3421227360368656e-91,1.9967181516224422e-74,6.269532331802212e-88,2.656810938247572e-83,1.2889125629481953e-96,0.0,0.0,0.0,0.0,2.2621618486909904e-35,5.523298968451419e-50,0.0,0.0
1.0699239320779724e-08,0.010699239320779723,2.801997871173445e+16,10.699239320779723,7.133976939664424e-78,2.7047048381745736e-91,3.918658849326929e-74,1.2304269550109045e-87,5.5514683553885685e-83,2.693212830111782e-96,0.0,0.0,0.0,0.0,3.369361757609964e-35,8.226640516864665e-50,0.0,0.0
1.0732159654996552e-08,0.010732159654996552,2.7934028903532588e+16,10.732159654996552,1.4345159229448709e-77,5.438680542482893e-91,7.674312349324424e-74,2.409671558268899e-87,1.1573184994987333e-82,5.61455966573287e-96,0.0,0.0,0.0,0.0,5.012107828353067e-35,1.2237572662684978e-49,0.0,0.0
1.0765181281312068e-08,0.010765181281312068,2.7848342741838256e+16,10.765181281312067,2.8782465928779347e-77,1.0912296957302222e-90,1.4997733386430125e-73,4.709166103066156e-87,2.4071258950265976e-82,1.1677815542057928e-95,0.0,0.0,0.0,0.0,7.446353585863551e-35,1.8181032052734786e-49,0.0,0.0
1.0798304511390419e-08,0.01079830451139042,2.7762919417929796e+16,10.79830451139042,5.762387988457812e-77,2.184694288141899e-90,2.924817270903405e-73,9.183687957983654e-87,4.995151471043705e-82,2.4233239152139634e-95,0.0,0.0,0.0,0.0,1.1048900809422158e-34,2.697701867729607e-49,0.0,0.0
1.083152965785477e-08,0.01083152965785477,2.7677758125566092e+16,10.83152965785477,1.1511496169645513e-76,4.364353802653708e-90,5.69195687388663e-73,1.7872280884039305e-86,1.0342023549730462e-81,5.0172798853147234e-95,0.0,0.0,0.0,0.0,1.6373757215847208e-34,3.9978198903979706e-49,0.0,0.0
1.0864857034290192e-08,0.010864857034290193,2.7592858060979136e+16,10.864857034290193,2.2946620287156378e-76,8.699752667457615e-90,1.1053937587517996e-72,3.4708463506657325e-86,2.136350130472909e-81,1.0364186936985427e-94,0.0,0.0,0.0,0.0,2.4234448737582957e-34,5.917087930323641e-49,0.0,0.0
1.0898286955246556e-08,0.010898286955246556,2.7508218422866596e+16,10.898286955246556,4.564216687304007e-76,1.7304315756884073e-89,2.142238123621693e-72,6.726453188975232e-86,4.403037925592133e-81,2.1360687792020185e-94,0.0,0.0,0.0,0.0,3.5824087831959963e-34,8.746816567633044e-49,0.0,0.0
